"No order id was given.","Es wurde keine Bestellnummer angegeben."
"Online Return","Online Retoure"
"Enabled","Aktiviert"
"Portal Id","Portal ID"
"User","Benutzer"
"Password","Passwort"
"Allow customers to print a return form for a previous order.","Dem Kunden ermöglichen, einen Retourenschein für eine Sendung zu erstellen."
"Delivery Names","Retourenportal-Namen"
"Delivery Name","Name des Retourenportals"
"Select country","Land auswählen"
"Country","Land"
"Selected country ""%s"" is not applicable for online return.","Rücksendungen aus ""%s"" können nicht mit DHL Online Retoure abgewickelt werden."
"Country in area Online Return must not be defined twice.","Land darf im Abschnitt Online Retoure nicht doppelt verwendet werden."
"Logging enabled","Logging aktiviert"
"Verify Shipping Address","Versandadresse prüfen"
"Generate Return Form","Retouren-Label erzeugen"
"CMS Revocation Page","CMS-Seite Widerrufsbelehrung"
"Revocation","Widerrufsbelehrung"
"Check shipping address for DHL Online Return","Versandadresse prüfen für DHL Online Retoure"
"The online return blocks and links will be only visible for orders with this shipping methods.","Die Online Retoure Blöcke und Links werden nur für Bestellungen mit diesen Versandarten angezeigt."
"Allowed shipping methods","Erlaubte Versandarten"
"The web service request failed with the following error message: ""%s""", "Die Webservice-Anfrage schlug mit der folgenden Meldung fehl: ""%s"""
"DHL Online Return","DHL Online Retoure"
"Please click <a href=""%s"">here</a> to create a return label for your order.","Bitte klicken Sie <a href=""%s"">hier</a> um ein Retouren-Label für Ihre Bestellung zu erstellen."
"Return labels can be created only if the order was already shipped.","Retouren-Labels können nur für Bestellungen erstellt werden, die bereits versendet wurden."
"Return label successfully created.","Retouren-Label wurde erzeugt."
"Return label successfully created on %s.","Retouren-Label wurde am %s erzeugt."
"Return label with ident code (IDC) %s successfully created on %s.","Retouren-Label mit Ident-Code (IDC) %s wurde am %s erzeugt."
"An error occured while trying to create a return label. Error code 50001111.","Beim Versuch ein Retouren-Label zu erzeugen ist ein Fehler aufgetreten. Fehler Code 50001111."
"Your shipment was not sent yet. Because of this no return label can be created currently.","Ihre Sendung wurde noch nicht verschickt. Deshalb können Sie für diese Sendung noch kein Retourenlabel erstellen."
"Please log in to access DHL Online Return.","Bitte melden Sie sich an, um ein Retouren-Label für diese Bestellung zu erzeugen."
"You are not allowed to create a return for the current order.","Sie haben keine Berechtigung, für diese Bestellung eine Retoure zu erstellen."
"The requested order does not exist.","Die Bestellung existiert nicht."
"DHL Online Return is not available for your country.","DHL Online Retoure ist für Ihr Land nicht verfügbar."
"DHL Online Return is not available for your shipping method.","DHL Online Retoure ist für Ihre Versandart nicht freigeschaltet."
"The requested order does not exist.","Diese Bestellung existiert nicht."
"Create your <a href=""%s"">return label</a> online and deliver your parcel to a <a href=""%s"">nearby location</a>.","Erstellen Sie Ihr <a href=""%s"">Retourenlabel</a> online und geben Sie Ihr Paket an einer <a href=""%s"">Abgabestelle in Ihrer Nähe</a> ab."
"Return Order","Bestellung retournieren"
